Код;Адрес;Широта;Долгота
169341;Симферополь р-он, Журавушка СТ, д.13;;
167753;Симферополь р-он, Журавушка СТ, д.42;;
166319;Симферополь р-он, Мирная ул., д.563;;
168525;Симферополь р-он, Молодежное СТ, д.44;;
167750;Симферополь р-он, Нектар СТ, д.55;;
170116;Симферополь р-он, Садовая ул., д.33;;
169432;Симферополь р-он, Кузина ул., д.33;;
169005;Симферополь р-он, Лавандовая ул., д.56;;
170933;Симферополь р-он, Ореховая ул., д.11;;
169847;Симферополь р-он, Речная ул., д.11;;
168249;Симферополь р-он, Речная ул., д.36;;
170100;Симферополь р-он, Садовая ул., д.48;;
170104;Симферополь р-он, Садовая ул., д.49;;
167813;Симферополь р-он, Салгирная ул., д.39;;
169702;Симферополь р-он, Цветочная ул, д.33;;
167908;Симферополь р-он, Шарха СТ, д.33;;
111479;Симферополь р-он, Яблоневая ул., д.33;;
132811;Симферополь р-он, Яблоневая ул., д.35;;
171545;Симферополь р-он, Шосейная ул., д.11;;
169290;Симферополь р-он, Садовая ул., д.45;;
169140;Симферополь р-он, Зеленая ул, д.81;;
170976;Симферополь р-он, Консервщик СТ, д.33;;
170982;Симферополь р-он, Консервщик СТ, д.34;;
170961;Симферополь р-он, Консервщик СТ, д.55;;
169103;Симферополь р-он, Улица №12, д.53;;
174084;Симферополь р-он, Улица №4, д.4;;
169075;Симферополь р-он, Улица №4, д.94;;
168240;Симферополь р-он, Улица №1, д.11;;
170191;Симферополь р-он, Центральная ул, д.7;;
168647;Симферополь р-он, Греческая ул., д.44;;
168641;Симферополь р-он, Кирилкина ул., д.11;;
168651;Симферополь р-он, Самаркандская ул., д.55;;
171717;Симферополь р-он, Улица №3, д.33;;
169090;Симферополь р-он, Улица №6, д.63;;
169095;Симферополь р-он, Улица №8, д.68;;
168064;Симферополь р-он, Наратлы ул., д.70;;
170416;Симферополь р-он, Каштан СТ, д.29;;
168251;Симферополь р-он, Кизиловая ул., д.11, кв.999;;
170739;Симферополь р-он, Родниковая ул., д.11;;
167760;Симферополь р-он, Сумская ул., д.211;;
102391;Симферополь р-он, Заречная ул., д.50;;
169308;Симферополь р-он, Лавандовая ул., д.11;;
168998;Симферополь р-он, Лавандовая ул., д.44;;
169719;Симферополь р-он, Скифская ул., д.8;;
168055;Симферополь р-он, Надежда СТ, д.11;;
167334;Симферополь р-он, Янтарная ул., д.49;;
171667;Симферополь р-он, Светлая ул., д.29, кв.999;;
89518;Симферополь р-он, Прудовая ул., д.13;;
168961;Симферополь р-он, Ежевичная ул., д.56;;
167241;Симферополь р-он, Заповедная ул., д.33;;
169825;Симферополь р-он, Лесная ул., д.11;;
169830;Симферополь р-он, Лесная ул., д.13;;
170051;Симферополь р-он, Автобусная ул., д.44;;
166282;Симферополь р-он, Дружба СТ, д.563;;
167323;Симферополь р-он, Лунная ул., д.11;;
168717;Симферополь р-он, Межгорник СТ, д.16;;
169917;Симферополь р-он, Петровские скалы СТ, д.29;;
168781;Симферополь р-он, Вымпел СТ, д.66;;
170070;Симферополь р-он, Гагарина ул., д.8б;;
167807;Симферополь р-он, Геофизиков ул., д.71;;
169281;Симферополь р-он, Садовая ул., д.33;;
174068;Симферополь р-он, Солнечная ул., д.15;;
168903;Симферополь р-он, Медик+ СТ, д.29;;
169466;Симферополь р-он, Сад СТ, д.123;;
167412;Симферополь р-он, Долина СТ, д.41;;
168604;Симферополь р-он, Энергия СТ, д.44;;
167660;Симферополь р-он, Грина ул., д.12;;
169495;Симферополь р-он, Орехова ул., д.34;;
167703;Симферополь р-он, Пушкина ул., д.11;;
174064;Симферополь р-он, Белова ул., д.12, кв.16;;
170057;Симферополь р-он, Интернациональная ул., д.21;;
170395;Симферополь р-он, Ореховая ул., д.11;;
169475;Симферополь р-он, Речная ул., д.33;;
169794;Симферополь р-он, Скифская ул., д.17;;
171772;Симферополь р-он, Украинская ул., д.21;;
167230;Симферополь р-он, Аметхана - Султана ул., д.22;;
171599;Симферополь р-он, Джами ул., д.45;;
98225;Симферополь р-он, Крымская ул., д.13, кв.999;;
167616;Симферополь р-он, Строителей ул., д.12, кв.698;;
170346;Симферополь р-он, Ивушки СТ, д.1000;;
167071;Симферополь р-он, Ивушки СТ, д.11;;
168967;Симферополь р-он, Ивушки СТ, д.87;;
170527;Симферополь р-он, Ветеран СТ, д.39;;
167518;Симферополь р-он, Мраморное СТ, д.12;;
167752;Симферополь р-он, Мраморное СТ, д.3;;
167222;Симферополь р-он, Улица №4, д.111;;
170631;Симферополь р-он, Чунгуров сад СТ, д.33;;
170634;Симферополь р-он, Чунгуров сад СТ, д.35;;
171698;Симферополь р-он, Киевская ул., д.45;;
171729;Симферополь р-он, Киевская ул., д.69;;
169226;Симферополь р-он, Лазурная ул, д.858;;
166259;Симферополь р-он, Ленина ул., д.125;;
168531;Симферополь р-он, Лучезарная ул., д.19;;
168079;Симферополь р-он, Октябрьской революции ул,, д.3, кв.13;;
168530;Симферополь р-он, Садовая ул., д.77;;
170420;Симферополь р-он, СОТ СТ, д.56;;
167709;Симферополь р-он, Чудесная ул., д.33;;
166377;Симферополь р-он, Якорь кооператив, д.456;;
171602;Симферополь р-он, Колос СТ, д.23;;
167681;Симферополь р-он, Новозбурьевка СТ, д.33;;
166695;Симферополь р-он, Зеленая ул., д.432;;
169022;Симферополь р-он, Зеленая ул., д.73;;
168915;Симферополь р-он, Полевая ул., д.1;;
103369;Симферополь р-он, Чуматская ул., д.44;;
168692;Симферополь р-он, Гвардейская ул., д.55;;
171758;Симферополь р-он, Садовая ул., д.44;;
170931;Симферополь р-он, Озерная ул., д.44;;
171748;Симферополь р-он, Дружбы ул., д.33;;
170311;Симферополь р-он, Ангарка СТ, д.847;;
168116;Симферополь р-он, Беговая ул, д.479;;
169910;Симферополь р-он, Ветеран СТ, д.29;;
169669;Симферополь р-он, Гагарина ул, д.36;;
167403;Симферополь р-он, Дачная ул., д.12;;
170166;Симферополь р-он, Заповедная ул, д.22;;
170656;Симферополь р-он, Октябрьская ул., д.50, кв.15;;
170561;Симферополь р-он, Орехова ул., д.67;;
170568;Симферополь р-он, Орехова ул., д.97;;
167532;Симферополь р-он, Родничек СТ, д.12;;
170169;Симферополь р-он, Учительская ул., д.23;;
170173;Симферополь р-он, Учительская ул., д.24;;
169371;Симферополь р-он, Учительская ул., д.33;;
169463;Симферополь р-он, Школьная ул., д.546;;
169398;Симферополь р-он, Якорь СТ, д.53;;
167847;Симферополь р-он, Виноградная ул, д.12;;
168527;Симферополь р-он, Ленина ул., д.8, кв.8;;
168112;Симферополь р-он, Северная ул., д.46, кв.13;;
170412;Симферополь р-он, Военного ул., д.10;;
166343;Симферополь р-он, Меркизи ул., д.15;;
169934;Симферополь р-он, Мираба ул., д.66;;
167035;Симферополь р-он, Аблаева ул., д.111;;
166806;Симферополь р-он, Арзы ул., д.10;;
170716;Симферополь р-он, Луговая ул, д.222;;
168685;Симферополь р-он, Новая нарезка, д.66;;
167905;Симферополь р-он, Строителей ул., д.444;;
171024;Симферополь р-он, Родниковая ул., д.33;;
167758;Симферополь р-он, Жасминная ул., д.353;;
174103;Симферополь р-он, Тополиная ул., д.535;;
167374;Симферополь р-он, Фонтанная ул., д.11;;
167755;Симферополь р-он, Фонтанная ул., д.22;;
169485;Симферополь р-он, Фонтанная ул., д.43;;
170207;Симферополь р-он, 40 лет Победы ул., д.4, кв.324;;
168533;Симферополь р-он, Веселая ул., д.3а;;
174100;Симферополь р-он, Садовая ул., д.28;;
169236;Симферополь р-он, Садовая ул., д.62;;
166634;Симферополь р-он, Уютная ул., д.111;;
170667;Симферополь р-он, Энтузиастов ул., д.17;;
167943;Симферополь р-он, Долинная ул., д.74;;
167437;Симферополь р-он, Цивильная ул., д.41;;
171604;Симферополь р-он, Грушовая ул., д.49;;
170320;Симферополь р-он, Центральная ул., д.11;;
170367;Симферополь р-он, Берекет ул., д.23;;
169935;Симферополь р-он, Джанкойская ул., д.24;;
169101;Симферополь р-он, Лечебная ул., д.111;;
167706;Симферополь р-он, Новая ул., д.13;;
169855;Симферополь р-он, Озерная ул., д.22;;
166747;Симферополь р-он, Солнечная ул., д.32;;
169842;Симферополь р-он, Космонавтов ул., д.27;;
171741;Симферополь р-он, Заречная ул., д.33;;
169479;Симферополь р-он, Гулистанская ул., д.8;;
168519;Симферополь р-он, Меметова ул., д.64;;
170141;Симферополь р-он, Меметова ул., д.78;;
169202;Симферополь р-он, Нижняя ул., д.122;;
170518;Симферополь р-он, Нижняя ул., д.55;;
169302;Симферополь р-он, Новая нарезка, д.33;;
168638;Симферополь р-он, Технолог СТ, д.55;;
167054;Симферополь р-он, Футболистов ул., д.1;;
167675;Симферополь р-он, Шоссейная ул., д.15;;
169921;Симферополь р-он, Верхнесадовая ул., д.28;;
168613;Симферополь р-он, Новая нарезка учатков, д.765;;
169176;Симферополь р-он, Украинская ул., д.45;;
169931;Симферополь р-он, Мрия СТ, д.29;;
166449;Симферополь р-он, Новая ул., д.11;;
171028;Симферополь р-он, Новая ул., д.36;;
170400;Симферополь р-он, Новая ул., д.44;;
171612;Симферополь р-он, Октябрьская ул., д.33;;
167227;Симферополь р-он, массив Трудовой 3, Кооператив Дружба, д.32;;
167812;Симферополь р-он, массив Трудовой 3, Кооператив Дружба, д.61;;
167786;Симферополь р-он, Протон СТ, д.119;;
169500;Симферополь р-он, Протон СТ, д.55;;
170129;Симферополь р-он, Протон СТ, д.56;;
170423;Симферополь р-он, Эдельвейс СТ, д.29;;
167988;Симферополь р-он, Верхние Фонтаны, д.52;;
170315;Симферополь р-он, Заречная ул, д.29;;
167669;Симферополь р-он, Строителей СТ, д.11;;
171614;Симферополь р-он, Узунжа ул., д.33;;
170307;Симферополь р-он, Цветочная ул, д.44;;
167615;Симферополь р-он, Чкалова ул., д.65ф;;
171550;Симферополь р-он, Заводская ул., д.3;;
168111;Симферополь р-он, Жилой массив Нижний, д.22;;
168703;Симферополь р-он, Ивушка СТ, д.31;;
168990;Симферополь р-он, Ивушка СТ, д.63;;
167575;Симферополь р-он, Родничек СТ, д.53;;
168501;Симферополь р-он, Родничек СТ, д.63;;
169143;Симферополь р-он, Родничек СТ, д.91;;
168571;Симферополь р-он, Виноградная ул, д.44;;
91927;Симферополь, Гагарина ул., д.26;;
132783;Симферополь, Глухова ул., д.32, кв.123;;
107120;Симферополь, Гоголя ул., д.102;;
95087;Симферополь, Жукова Маршала ул., д.29;;
105463;Симферополь, Жукова Маршала ул., д.3333;;
135495;Симферополь, Жукова Маршала ул., д.35, кв.987;;
114559;Симферополь, Калинина ул., д.27, кв.397;;
95776;Симферополь, Ларионова ул., д.44;;
103815;Симферополь, Розы Люксембург ул., д.42, кв.999;;
88648;Симферополь, Камская ул., д.25, кв.777;;
91360;Симферополь, Киевская ул., д.136, кв.999;;
101074;Симферополь, Крупской ул., д.2, кор.а, кв.758;;
113051;Симферополь, Луговая ул., д.77, кв.990;;
107440;Симферополь, Скалистый пер., д.15;;
116121;Симферополь, Фрунзе ул., д.30, кв.99;;
98289;Симферополь, Балаклавская ул., д.119;;
99286;Симферополь, Балаклавская ул., д.97;;
103261;Симферополь, Бархатовой ул., д.165;;
174077;Симферополь, Жуковского ул., д.31, кв.13;;
113866;Симферополь, Кирова просп., д.16, кор.14;;
99803;Симферополь, Миллера ул., д.56;;
95259;Симферополь, Поповкина ул., д.20;;
109584;Симферополь, Севастопольская ул., д.41, кор.5, кв.333;;
96772;Симферополь, Севастопольская ул., д.94;;
166980;Славянск р-он, Победы ул., д.30;;
172172;Славянск р-он, 1-го Мая ул., д.554;;
173830;Славянск р-он, Октябрьская ул., д.554;;
147790;Славянск р-он, Правды ул., д.3;;
174570;Славянск р-он, Береговая ул., д.96;;
113646;Славянск, Василевского ул., д.28, кв.141;;
174065;Славянск, Василевского ул., д.28, кв.21;;
147618;Славянск, Виноградный пер., д.3, кв.446;;
171334;Славянск, Виноградный пер., д.3, кв.543;;
79599;Славянск, Виноградный пер., д.9, кв.50;;
76699;Славянск, Вольная ул., д.1, кв.222;;
141620;Славянск, Г.Батюка пер., д.8, кв.654;;
105585;Славянск, Г.Батюка пер., д.856;;
162044;Славянск, Г.Батюка ул., д.35, кв.79;;
116088;Славянск, Г.Батюка ул., д.48, кв.100;;
1824;Славянск, Г.Батюка ул., д.60, кв.5;;
73394;Славянск, Олимпийская ул., д.2, кв.35;;
80805;Славянск, Олимпийская ул., д.7, кв.116;;
166277;Славянск, Олимпийская ул., д.888, кв.999;;
2512;Славянск, Парковая ул., д.3, кв.1;;
102005;Славянск, Парковый пер., д.4, кв.999;;
87963;Славянск, К.Либнехта ул., д.114;;
137072;Славянск, Свердлова ул., д.57, кв.112;;
137954;Славянск, Свердлова ул., д.64, кв.752;;
140742;Славянск, Малогородская ул., д.7, кв.25;;
113205;Славянск, Горловская ул., д.23;;
109277;Славянск, Д.Бедного ул., д.2а;;
6470;Славянск, Приозерная ул., д.222;;
154038;Славянск, Донской пер., д.5, кв.100;;
78242;Славянск, Донской пер., д.7, кв.222;;
5734;Славянск, Новосодовская ул., д.5, кв.51;;
151958;Славянск, Д.Бедного ул., д.78;;
161920;Славянск, К.Маркса ул., д.22, кв.18;;
1962;Славянск, Коммунаров ул., д.16, кв.45;;
99566;Славянск, Коммунаров ул., д.34, кв.128;;
141226;Славянск, Коммунаров ул., д.57, кв.345;;
159304;Славянск, Коммунаров ул., д.61, кв.212;;
113338;Славянск, Ленина ул., д.53, кв.35;;
161467;Славянск, Ленина ул., д.53, кв.553;;
80062;Славянск, Лозановича ул., д.12, кв.59;;
139196;Славянск, Лозановича ул., д.18, кв.27;;
6644;Славянск, Луночарского ул., д.8, кв.123;;
171361;Славянск, Окт.Революции ул., д.18, кв.10;;
143766;Славянск, Окт.Революции ул., д.23, кв.11;;
145186;Славянск, Окт.Революции ул., д.56, кв.34;;
79146;Славянск, Пушкина бульвар, д.3, кв.333;;
117392;Славянск, Пушкина бульвар, д.7, кв.176;;
965;Славянск, Р.Люксембург ул., д.12;;
137767;Славянск, Свободы ул., д.14, кв.40;;
104325;Славянск, Свободы ул., д.33, кв.888;;
161475;Славянск, Свободы ул., д.34, кв.557;;
166266;Славянск, Свободы ул., д.34, кв.723;;
142136;Славянск, Свободы ул., д.38, кв.546;;
78981;Славянск, Свободы ул., д.38, кв.922;;
171617;Славянск, Свободы ул., д.4, кв.332;;
2983;Славянск, Урицкого ул., д.10, кв.87;;
170852;Славянск, Урицкого ул., д.15, кв.19;;
122064;Славянск, Урицкого ул., д.9, кв.81;;
150327;Славянск, Фрунзе ул., д.44, кв.555;;
151652;Славянск, Чубаря пер., д.2, кв.345;;
80513;Славянск, Чубаря пер., д.2а, кв.8;;
162078;Славянск, Чубаря ул, д.1, кв.27;;
6493;Славянск, Чубаря ул, д.19, кв.14;;
152519;Славянск, Чубаря ул, д.9, кв.22;;
171618;Славянск, Юн.Коммунаров ул., д.71, кв.44;;
83348;Славянск, Юн.Коммунаров ул., д.75, кв.7;;
115853;Славянск, Юн.Коммунаров ул., д.75, кв.888;;
3488;Славянск, Краматорская ул., д.61;;
5670;Славянск, Ленинградская ул., д.86;;
71785;Севастополь, Героев Подводников ул., д.8;;
171681;Судак р-он, Солнечная долина СТ, д.33;;
173926;Феодосия, Каранелли ул, д.8, кор.а;;
170691;Харьков, Ахсарова ул., д.20, кор.А, кв.999;;
169437;Харьков, Победы просп., д.66, кор.е, кв.909;;
168661;Харьков, Победы просп., д.68, кор.Г, кв.997;;
154633;Харьков, Победы просп., д.71, кв.234;;
174076;Харьков, Убийвовк Ляли ул., д.10;;
169438;Харьков, Целиноградская ул., д.48, кв.909;;
152242;Харьков, Жуковского просп., д.5, кв.111;;
174110;Харьков, Кречетовский пер., д.1;;
169439;Харьков, Аскольдовская ул., д.897;;
167189;Харьков, Алуштинская ул., д.14;;
173321;Харьков, Днепропетровская ул., д.17;;
174067;Харьков, Костромская ул., д.11;;
167456;Харьков, Варваровская ул., д.989;;
169410;Харьков, Новонабережная ул., д.111;;
168718;Харьков, Подветренный пер., д.989;;
166243;Харьков, Героев Сталинграда просп., д.171, кор.а, кв.998;;
148462;Харьков, Танкопия ул., д.14, кор.а, кв.222;;
168787;Харьков, Бакунина ул., д.31;;
166506;Харьков, Володарского ул., д.125;;
166524;Харьков, Володарского ул., д.72;;
174060;Харьков, 23-го Августа ул., д.13, кор.А, кв.999;;
169865;Харьков, Ленина просп., д.47, кор.1, кв.909;;
154026;Харьков, Отакара Яроша пер., д.20, кв.777;;
174101;Харьков, 50-летия ВЛКСМ просп., д.42, кор.А, кв.999;;
168664;Харьков, 50-летия ВЛКСМ просп., д.51, кв.998;;
167543;Харьков, Автотракторный пер., д.13;;
172616;Харьков, Блюхера ул., д.24, кор.б;;
158943;Харьков, Гарибальди ул., д.5, кв.777;;
153418;Харьков, Гвардейцев-Широнинцев ул., д.38, кор.б, кв.555;;
169407;Харьков, Гвардейцев-Широнинцев ул., д.44, кв.999;;
169326;Харьков, Героев Труда ул., д.68б, кв.999;;
167176;Харьков, Павлова Академика ул., д.123;;
148898;Харьков, Салтовское шоссе, д.145, кор.в, кв.777;;
166471;Харьков, Солнечная ул., д.11, кв.999;;
174073;Харьков, Луи Пастера ул., д.40, кор.а;;
162533;Харьков, Краснознаменная ул., д.7, кор.9, кв.111;;
157397;Харьков, Красношкольная наб., д.26, кв.111;;
169863;Харьков, Лопанская ул., д.898;;
159361;Харьков, Мироносицкая ул., д.61, кв.111;;
169864;Харьков, Сухумская ул., д.21, кв.998;;
167229;Харьков, Маломясницкая ул., д.6;;
174055;Харьков, Южно-Проектная ул., д.46;;
174549;Харьковский р-он., с.Коммунист, д.6, кв.999;;
172831;Харьковский р-он., с.Большие Проходы, д.111;;
172690;Харьковский р-он., Санаторная ул., д.965, кв.999;;
172811;Харьковский р-он., с.Графское, д.1;;
173842;Харьковский р-он., Черкасские Тишки, д.111;;
169436;Антоновка, Школьная ул., д.878;;
167772;Ялта, Аверкина, д.2, кор.РІ;;
72565;Севастополь, Ленина ул., д.42;;
70642;Севастополь, Новороссийская ул., д.23;;
5848;Славянск, Окт.Революции ул., д.40;;
3;Славянск, Окт.Революции ул., д.56;;
3209;Славянск, Пушкина бульвар, д.7;;
174106;Славянск, Розы Люксембург;;
175571;Киев, ул. Пастернака (Высоковольтная);;
170752;Ялта, Белобородского ул., д.999;;
174090;Ялта, Алупкинское шоссе, д.18;;
149888;Ялта, Горького ул, д.14, кв.88;;
174078;Ялта, Лесная ул., д.27;;
171458;Ялта, Субхи ул, д.5, кв.999;;
159691;Ялта, Южная ул, д.26, кв.27;;
151531;Ялта, Никитский спуск, д.10, кв.99;;
171542;Ялта, Голубой Залив, д.63;;
151742;Ялта, Блюхера ул., д.23;;
159423;Ялта, Блюхера ул., д.40, кв.32;;
158524;Ялта, Блюхера ул., д.54, кв.242;;
150517;Ялта, Войкова ул., д.8, кв.99;;
162726;Ялта, Дзержинского ул., д.30, кв.987;;
149675;Ялта, Екатерининская ул., д.800, кв.88;;
148568;Ялта, Заречная ул., д.14, кв.1;;
150448;Ялта, Игнатенко ул., д.3, кв.5;;
158855;Ялта, Кирова ул., д.130, кв.903;;
162331;Ялта, Красных Партизан ул., д.14 Б, кв.905;;
158488;Ялта, Ломоносова ул., д.3, кв.987;;
163331;Ялта, Ломоносова ул., д.33, кв.67;;
150897;Ялта, Московская ул., д.53, кв.99;;
166886;Ялта, Найденова ул., д.31, кв.106;;
166915;Ялта, Найденова ул., д.31, кв.107;;
151053;Ялта, Никитский спуск, д.30;;
151738;Ялта, Садовая ул., д.68, кв.99;;
169133;Ялта, Севастопольское шоссе, д.45, кв.857;;
171501;Ялта, Цветочная ул., д.7, кв.999;;
163951;Ялта, Щорса ул., д.21, кв.903;;
172649;Севастополь, Кирова ул.;;
174251;Краматорск, Кирова, д.659;;
