12 Апреля, ул., рус
Збройовий, пров., укр
Звенигородська, вул., укр
Звільнена, вул., укр
Зелена, вул., укр
Зелений, пров., укр
Зеленогірська, вул., укр
Зеленодольська, вул., укр
Зеленоярівська, вул., укр
Зелінського, вул., укр
Земського лікаря Лукашевича, вул., укр
Зенітний, пров., укр
Зернова, вул., укр
Зерновий, пров., укр
Зестафонська, вул., укр
Зимова, вул., укр
Злітний, пров., укр
Знаменська, вул., укр
Знаменський, пров., укр
Зої Космодем'янської, вул., укр
Зорге, вул., укр
Зорепадна, вул., укр
Зоря, пров., укр
Зоряна, вул., укр
Зоряний, пров., укр
Зразкова, вул., укр
Зустрічний, пров., укр
Івана Богуна, вул., укр
Івана Гунтіка-Залужного, вул., укр
Івана Мазепи, вул., укр
Івана Мейлуса, вул., укр
Івана Сірка, вул., укр
Івана Чупілка, вул., укр
Іванівська, вул., укр
Іванова, вул., укр
Івченка, вул., укр
Ігоря Сікорського, вул., укр
Іжевський, пров., укр
Ізмаїльська, вул., укр
Індустріальна, вул., укр
Інженера Веденеєва, вул., укр
Інженерна, пл., укр
Інститутська, вул., укр
Інструментальна, вул., укр
Іркутська, вул., укр
Іртишська, вул., укр
Іскри, вул., укр
Істоміна, вул., укр
Історична, вул., укр
Кабардинська, вул., укр
Кавалерійський, пров., укр
Кавказький, пров., укр
Кадровий, пров., укр
Казанський, пров., укр
Казкова, вул., укр
Калинівська, вул., укр
Калинова, вул., укр
Калнишевського, вул., укр
Калузька, вул., укр
Камська, вул., укр
Камчатський, пров., укр
Кам'яна, вул., укр
Кам'яний, пров., укр
Кам'яногірська, вул., укр
Кам'янодробильна, вул., укр
Кам'янська, вул., укр
Кам'янсько-Дніпровська, вул., укр
Канівська, вул., укр
Капустяна, вул., укр
Карантинка, вул., укр
Карельський, пров., укр
Кар'єрна, вул., укр
Кармелюка, вул., укр
Карпенка-Карого, вул., укр
Карпинського академіка, вул., укр
Каспійська, вул., укр
Каховська, вул., укр
Качалова, вул., укр
Каширський, пров., укр
Каштанова, вул., укр
Квіткова, вул., укр
Квітковий, пров., укр
Квітуча, вул., укр
Квітучий, пров., укр
Кедрова, вул., укр
Кедровий, пров., укр
Керченська, вул., укр
Кибальчича, вул., укр
Київська, вул., укр
Килимова, вул., укр
Кишинівська, вул., укр
Кияшка, вул., укр
Кінцева, вул., укр
Кінцевий, пров., укр
Климова академіка, вул., укр
Клінічна, вул., укр
Клубна, вул., укр
Ключова, вул., укр
Кобзарська, вул., укр
Кобзаря, вул., укр
Ковальський, пров., укр
Ковпака, вул., укр
Кожедуба, вул., укр
Козака Бабури, вул., укр
Козацьких гетьманів, вул., укр
Козача, вул., укр
Коксобудівна, вул., укр
Коксовий, пров., укр
Кольорова, вул., укр
Кольцова, вул., укр
Комарова, вул., укр
Комбінатська, вул., укр
Компресорна, вул., укр
Комунальна, вул., укр
Конденсаторний, пров., укр
Конотопський, пров., укр
Коопераційна, вул., укр
Корабельний, пров., укр
Корейський, пров., укр
Коса, вул., укр
Космічна, вул., укр
Космонавтів, вул., укр
Косогірний, пров., укр
Костюшка, пров., укр
Костянтина Великого, вул., укр
Котельний, пров., укр
Котельникова, вул., укр
Котляревського, вул., укр
Кочубея, вул., укр
Кошового, вул., укр
Крайня, вул., укр
Крайова, вул., укр
Краматорська, вул., укр
Крамського, вул., укр
Красна, вул., укр
Краснова, вул., укр
Красноградська, вул., укр
Красносільський, пров., укр
Красноярська, вул., укр
Крейсерна, вул., укр
Кремнієвий, вул., укр
Крива Бухта, вул., укр
Кривоносова, вул., укр
Криворізька, вул., укр
Крилова, вул., укр
Крицевий, пров., укр
Кришталевий, пров., укр
Кронштадська, вул., укр
Кропивницького, вул., укр
Кругова, вул., укр
Крутоярська, вул., укр
Кубинський, пров., укр
Кузбаський, пров., укр
Куйбишева, вул., укр
Куликовська, вул., укр
Культурна, вул., укр
Куп'янський, пров., укр
Курганна, вул., укр
Курильський, пров., укр
Курортна, вул., укр
Курська, вул., укр
Курузова, вул., укр
Курчатова академіка, вул., укр
Кустанайська, вул., укр
Кутузова, вул., укр
Ладозька, вул., укр
Ладозька (приватний сектор), вул., укр
Лазаретна, вул., укр
Лазарєва, вул., укр
Ламана, вул., укр
Лассаля, вул., укр
Латвійська, вул., укр
Лахтінська, вул., укр
Лебединий, пров., укр
Леваневського, вул., укр
Легендарна, вул., укр
Лейтенантська, вул., укр
Ленська, вул., укр
Леоніда Жаботинського, вул., укр
Леоніда Приня, вул., укр
Леонтовича, вул., укр
Лермонтова, вул., укр
Лесі Українки, вул., укр
Ливарна, вул., укр
Лижна, вул., укр
Лиманська, вул., укр
Липовецька, вул., укр
Лисенка, вул., укр
Листопадовий, пров., укр
Листопрокатна, вул., укр
Листяний, пров., укр
Лізи Чайкіної, вул., укр
Лікарська (Дніпровський), вул., укр
Лікарська (Комунарський), вул., укр
Лірична, вул., укр
Лісна, вул., укр
Лісництво, вул., укр
Літакова, вул., укр
Літературна, вул., укр
Літня, вул., укр
Ліхачова, вул., укр
Лобановського, вул., укр
Логінова, вул., укр
Ломоносова, вул., укр
Луганська, вул., укр
Лугова, вул., укр
Луцький, пров., укр
Любисткова, вул., укр
Лютневий, пров., укр
Льотний, пров., укр
Магара, вул., укр
Магістральна, вул., укр
Магнітна, вул., укр
Майкопський, пров., укр
Макаренка, вул., укр
Макарова, вул., укр
Макіївський, пров., укр
Максима Кривоноса, вул., укр
Максима Прокуратова, вул., укр
Мала, вул., укр
Малахітна, вул., укр
Малика, вул., укр
Малинова, вул., укр
Мальв, вул., укр
Мальовнича, вул., укр
Марата, вул., укр
Марганцева, вул., укр
Маріупольський, пров., укр
Марко Вовчок, вул., укр
Мармуровий, пров., укр
Мартенівська, вул., укр
Маршала Судця, вул., укр
Маршова, вул., укр
Матросова, вул., укр
Машинна, вул., укр
Маяковського, просп., укр
Медвєдєва сержанта, вул., укр
Медична, вул., укр
Медова, вул., укр
Межова, вул., укр
Меліоративна, вул., укр
Мелітопольський, пров., укр
Менделєєва, вул., укр
Менонітська, вул., укр
Металістів, вул., укр
Металургів, просп., укр
Метрополітенівська, вул., укр
Механічна, вул., укр
Мечникова, вул., укр
Миколаївський, пров., укр
Миколи Киценка, вул., укр
Миколи Корищенка, вул., укр
Миколи Ласточкіна, вул., укр
Миколи Рибнікова, вул., укр
Миколи Хвильового, вул., укр
Миргородська, вул., укр
Мирна, вул., укр
Миру, вул., укр
Мисливський, пров., укр
Митищінський, пров., укр
Михайла Гончаренка, вул., укр
Михайла Грушевського, вул., укр
Михайла Коцюбинського, вул., укр
Михайлова, вул., укр
Мідна, вул., укр
Міжнародна, вул., укр
Міклея, вул., укр
Мінометна, вул., укр
Мінська, вул., укр
Місячний, пров., укр
Міська, вул., укр
Міцна, вул., укр
Мічуріна, вул., укр
МКДЗ-2, вул., укр
Млиновий, пров., укр
Модельний, пров., укр
Можайська, вул., укр
Мозаїчний, пров., укр
Мокрянська, вул., укр
Молдавська, вул., укр
Молодіжна, вул., укр
Молодогвардійська, вул., укр
Молочна, вул., укр
Монтажний, пров., укр
Морський, пров., укр
Морфлотська, вул., укр
Москворецька, вул., укр
Мостова, вул., укр
Мостовий, пров., укр
Моторний, пров., укр
Моторобудівників, вул., укр
Мохова, вул., укр
Музейна, вул., укр
Музична, вул., укр
Муравченка академіка, вул., укр
Мурманська, вул., укр
Мусорського, вул., укр
Набережна, вул., укр
Нагірна, вул., укр
Нагнибіди, вул., укр
Назва відсутня, вул., укр
Наливайка, вул., укр
Нарвська, вул., укр
Народна, вул., укр
Наскрізна, вул., укр
Насосна, вул., укр
Наталіївська, вул., укр
Наукового містечка, вул., укр
Нахімова адмірала, вул., укр
Невельського, пров., укр
Невська, вул., укр
Недільний, пров., укр
Незалежної України, вул., укр
Незалежності, вул., укр
Немировича-Данченка, вул., укр
Нестерова, вул., укр
Нечипора Дейкуна, вул., укр
Нижегородська, вул., укр
Нижній, пров., укр
Нижня, вул., укр
Нижньодніпровська, вул., укр
Низовий, пров., укр
Нібурівська, вул., укр
Ніжинська, вул., укр
Ніжинський, пров., укр
Нікітіна, вул., укр
Нікопольська, вул., укр
Нова, вул., укр
Новаторська, вул., укр
Новгородська, вул., укр
Новокузнецька, вул., укр
Новомосковська, вул., укр
Новорічна, вул., укр
Новоросійська, вул., укр
Новоселівська, вул., укр
Новосибірська, вул., укр
Новочеркаська, вул., укр
Норильська, вул., укр
Оборонна, вул., укр
Овочівництво, вул., укр
Огарьова, вул., укр
Одеська, вул., укр
Оздоровчий, пров., укр
Озерний, пров., укр
Окружна, вул., укр
Оксамитовий, пров., укр
Окська, вул., укр
Олександра Анашкіна, вул., укр
Олександра Вишнівського, вул., укр
Олександра Говорухи, вул., укр
Олександра Кузнецова, вул., укр
Олександра Невського, вул., укр
Олександрівська, вул., укр
Олександрова академіка, вул., укр
Олексія Заїки, вул., укр
Олексія Поради, вул., укр
Олени Теліги, вул., укр
Олімпійська, вул., укр
Ольги Кобилянської, вул., укр
Омельченка, вул., укр
Онезький, пров., укр
Оптимістична, вул., укр
Оранжерейна, вул., укр
Оранжерейний, пров., укр
Оренбурзька, вул., укр
Оріхівська, вул., укр
Оріхівське, шосе, укр
Оріхівський, пров., укр
Орликів, пров., укр
Орловська, вул., укр
Освітянська, вул., укр
Осипенка, вул., укр
Осіння, вул., укр
Основікова, вул., укр
Основна, вул., укр
Остапа Вишні, вул., укр
Офіцерська, вул., укр
Охайний, пров., укр
Очаківська, вул., укр
Павла Захаріна, вул., укр
Павла Сиромятникова, вул., укр
Павлова академіка, вул., укр
Павлоградська, вул., укр
Павлокічкаська, вул., укр
Палія, пров., укр
Памірська, вул., укр
Пам'ятна, вул., укр
Пам'ятний, пров., укр
Панаса Мирного, вул., укр
Панаса Саксаганського, вул., укр
Панельна, вул., укр
Пантелеймона Куліша, вул., укр
Панфьорова, вул., укр
Паралельна, вул., укр
Парамонова, вул., укр
Парашутна, вул., укр
Паркова, вул., укр
Парковий, бульв., укр
Партизанська, вул., укр
Пархоменка, вул., укр
Паторжинського, вул., укр
Патріотична, вул., укр
Пензенський, пров., укр
Передатна, вул., укр
Передова, вул., укр
Перемоги, вул., укр
Переяславський, пров., укр
Перлинний, пров., укр
Перспективна, вул., укр
Перша ливарна, вул., укр
Першотравнева, вул., укр
Пестеля, вул., укр
Петра Болбочана, вул., укр
Петра Бузука, вул., укр
Петра Григоренка, вул., укр
Петра Ребра, вул., укр
Петра Третяка, вул., укр
Печерський, пров., укр
Пирогова, вул., укр
Писарєва, пров., укр
Південна, вул., укр
Південне, шосе, укр
Південний, пров., укр
Південноукраїнська, вул., укр
Північна, вул., укр
Північне, шосе, укр
Північнокільцева, вул., укр
Підгірна, вул., укр
Підлісна, вул., укр
Підмосковна, вул., укр
Підпорожня, вул., укр
Пілотів, вул., укр
Піхотна, вул., укр
Пішохідний, пров., укр
Піщана, вул., укр
Плавнева, вул., укр
Планерна, вул., укр
Плановий, пров., укр
Платова, вул., укр
Повітряний, пров., укр
Подольська, вул., укр
Пожарського, вул., укр
Покровська, вул., укр
Полєтаєва, вул., укр
Поліклінична, вул., укр
Поліни Шило, вул., укр
Політехнічна, вул., укр
Політкаторжан, вул., укр
Полковий, пров., укр
Половецька, вул., укр
Полтавська, вул., укр
Полякова, вул., укр
Полярна, вул., укр
Польова, вул., укр
Понтонний, пров., укр
Попова, вул., укр
Портова, вул., укр
Посадочна, вул., укр
Постова, вул., укр
Потєшна, вул., укр
Поточна, вул., укр
Потьомкина, вул., укр
Початкова, вул., укр
Поштова, вул., укр
Поштовий, пров., укр
Правобережна, вул., укр
Преображенського інженера, просп., укр
Преснєнський, пров., укр
Пржевальського, вул., укр
Прибережний, пров., укр
Приватна, вул., укр
Привітна, вул., укр
Привокзальна, вул., укр
Приволзький, пров., укр
Придніпровська, вул., укр
Придорожний, пров., укр
Приозерна, вул., укр
Природна, вул., укр
Пристанська гілка, вул., укр
Приходська, вул., укр
Причальна, вул., укр
Прияружна, вул., укр
Прогресивна, вул., укр
Продольна, вул., укр
Прокатна, вул., укр
Пролетарська, вул., укр
Променева, вул., укр
Промислова, вул., укр
Профспілкова, вул., укр
Профспілок, пл., укр
Прохолодний, пров., укр
Прямий, пров., укр
Пугачова, вул., укр
Пушкіна, вул., укр
Радистів, вул., укр
Радищева, вул., укр
Радіаторна, вул., укр
Радіо, вул., укр
Радісна, вул., укр
Радянська, вул., укр
Раєвського, вул., укр
Райдужна, вул., укр
Ракетна, вул., укр
Ревуцького, пров., укр
Редакційна, вул., укр
Рейкова, вул., укр
Реконструктивна, вул., укр
Рекордна, вул., укр
Рельєфна, вул., укр
Республіканська, вул., укр
Реутовський, пров., укр
Рєпіна, вул., укр
Ржевський, пров., укр
Рибальський, пров., укр
Ризька, вул., укр
Рилєєва, вул., укр
Рильського, вул., укр
Ринкова, вул., укр
Рівненська, вул., укр
Різдвяна, вул., укр
Річкова, вул., укр
Річна, вул., укр
Робітнича, вул., укр
Родинний, пров., укр
Розваги, вул., укр
Розенталь, вул., укр
Ростовська, вул., укр
Рубана, вул., укр
Рудний, пров., укр
Руставелі, вул., укр
Руставі, вул., укр
Руська, вул., укр
Рязанська, вул., укр
Рясна, вул., укр
Садибний, пров., укр
Садівництво-Хортиця, вул., укр
Садівницьтво, вул., укр
Садова, вул., укр
Салавата Юлаєва, вул., укр
Сальський, пров., укр
Самарська, вул., укр
Самійла Кішки, вул., укр
Самопливний, пров., укр
Самоцвітна, вул., укр
Санаторна, вул., укр
Санітарна, вул., укр
Саперна, вул., укр
Сахалінська, вул., укр
Свірський, пров., укр
Світла, вул., укр
Світловий, пров., укр
Світловодська, вул., укр
Світлогірська, вул., укр
Світлодолинський, пров., укр
Святоволодимирівська, вул., укр
Святого Миколая, вул., укр
Севастопольська, вул., укр
Селищна, вул., укр
Семенівська, вул., укр
Семеренка, вул., укр
Серафимовича, вул., укр
Сергія Бурлака, проїзд, укр
Сергія Корольова, вул., укр
Сергія Серікова, вул., укр
Сергія Синенка, вул., укр
Середня, вул., укр
Серпуховська, вул., укр
Сеченова, вул., укр
Сєдова, вул., укр
Сєрова, вул., укр
Сибірська, вул., укр
Сивашська, вул., укр
Силова, вул., укр
Симбірський, пров., укр
Симфонічна, вул., укр
Синельниківська, вул., укр
Ситова, вул., укр
Сільська, вул., укр
Сімейна, вул., укр
Сімферопольський, пров., укр
Сінна, вул., укр
Січ, вул., укр
Січневий, пров., укр
Січовий, пров., укр
Січових стрільців, вул., укр
Скворцова, вул., укр
Скеляста, вул., укр
Скельна, вул., укр
Скідіна професора, вул., укр
Складська, вул., укр
Сковороди, вул., укр
Скрябіна, вул., укр
Скульптурна, вул., укр
Славгородська, вул., укр
Слави, вул., укр
Славутича, вул., укр
Сланцева, вул., укр
Сланцевий кар'єр, вул., укр
Слобідська, вул., укр
Слов'янська, вул., укр
Смоленська, вул., укр
Снайперська, вул., укр
Сніжний, пров., укр
Соборний, просп., укр
Соколиний, пров., укр
Солідарності, вул., укр
Соляний, пров., укр
Сонячна, вул., укр
Соняшникова, вул., укр
Сортувальна, вул., укр
Соснова, вул., укр
Сосюри, вул., укр
Софії Перовської, вул., укр
Софіївська, вул., укр
Сочінський, пров., укр
Спартака Маковського, вул., укр
Спартаківська, вул., укр
Сріблястий, пров., укр
Ставкова, вул., укр
Ставропольський, пров., укр
Стадіонна, вул., укр
Сталеварів, вул., укр
Стальний, пров., укр
Станіславського, вул., укр
Станційна, вул., укр
Старий Дніпро, вул., укр
Старий редут, вул., укр
Стартова, вул., укр
Стасова, вул., укр
Степана Разіна, вул., укр
Степова, вул., укр
Стефанова, вул., укр
Стешенка, вул., укр
Столєтова, вул., укр
Столярна, вул., укр
Сторожовий, пров., укр
Стратосферна, вул., укр
Стрєльнікова, вул., укр
Стрілецький, пров., укр
Стрілковий, пров., укр
Студентська, вул., укр
Суворова, вул., укр
Суліми, вул., укр
Суміжний, пров., укр
Сумська, вул., укр
Сурікова, вул., укр
Сусаніна, вул., укр
Суспільний, пров., укр
Суха, вул., укр
Суха балка, вул., укр
Східна, вул., укр
Таврична, вул., укр
Тавричний, пров., укр
Таганрозька, вул., укр
Таганська, вул., укр
Талаліхіна, вул., укр
Таллінський, пров., укр
Таманська, вул., укр
Тамбовська, вул., укр
Танкістів, вул., укр
Тараса Бульби, вул., укр
Тбіліська, вул., укр
Тверська, вул., укр
Театральна, вул., укр
Текстильний, пров., укр
Телеграфна, вул., укр
Тенісна, вул., укр
Тепла, вул., укр
Теплична, вул., укр
Тепличний, пров., укр
Теплова, вул., укр
Теплохідна, вул., укр
Тернопільська, вул., укр
Тесленка, вул., укр
Технічна, вул., укр
Технічний, пров., укр
Тимірязєва, вул., укр
Тимурівська, вул., укр
Тиражна, вул., укр
Тираспольський, пров., укр
Тисяча дев'ятсот п'ятого року, вул., укр
Титановий, пров., укр
Титова, вул., укр
Титова-Лазарєва, вул., укр
Тихий, пров., укр
Тичини, вул., укр
Тінистий, пров., укр
Тобольська, вул., укр
Товариська, вул., укр
Толока професора, вул., укр
Толстого, вул., укр
Томський, пров., укр
Тополіна, вул., укр
Травнева, вул., укр
Тракторна, вул., укр
Транспортна, вул., укр
Трансформаторників, вул., укр
Трегубенка, вул., укр
Трегубова, вул., укр
Трипільська, вул., укр
Троїцька, вул., укр
Трубний, пров., укр
Трудова, вул., укр
Трясила, вул., укр
Тульська, вул., укр
Тунельна, вул., укр
Тупіковий, пров., укр
Турбінна, вул., укр
Тургенєва, вул., укр
Туристський, пров., укр
Тушинська, вул., укр
Тюленіна, вул., укр
Ужгородська, вул., укр
Узбекистанська, вул., укр
Українська, вул., укр
Уманська, вул., укр
Упорний, пров., укр
Урожайна, вул., укр
Учительська, вул., укр
Учнівська, вул., укр
Ушакова адмірала, вул., укр
Фабрична, вул., укр
Фабричний, пров., укр
Федьковича, вул., укр
Фелікса Мовчановського, вул., укр
Ферганська, вул., укр
Феросплавна, вул., укр
Фестивальна, вул., укр
Фізкультурна, вул., укр
Філатова академіка, вул., укр
Фільтрова, вул., укр
Фінальна, вул., укр
Фінансова, вул., укр
Флотський, пров., укр
Фонвізіна, вул., укр
Фонтанна, вул., укр
Фортечна, вул., укр
Франка, вул., укр
Фрезерна, вул., укр
Фронтовий, пров., укр
Фруктова, вул., укр
Фундаментальна, вул., укр
Футбольна, вул., укр
Фучика, вул., укр
Хакаська, вул., укр
Халтуріна, вул., укр
Харківська, вул., укр
Харчова, вул., укр
Хворостяна, вул., укр
Херсонський, пров., укр
Хлібна, вул., укр
Хліборобна, вул., укр
Хороводна, вул., укр
Хортицьке, шосе, укр
Художній, пров., укр
Цегельна, вул., укр
Цегельний, пров., укр
Центральна, вул., укр
Центральна (Дніпровський район), вул., укр
Центральна (Шевченківський район), вул., укр
Центральний, бульв., укр
Цимлянська, вул., укр
Цитрусова, вул., укр
Цілинна, вул., укр
Ціолковського, вул., укр
Чабаненка академіка, вул., укр
Чавунна, вул., укр
Чайковського, вул., укр
Чапаєва, вул., укр
Чарівна, вул., укр
Челябінська, вул., укр
Червона, вул., укр
Червоногірська, вул., укр
Червоноградська, вул., укр
Червонополянська, вул., укр
Черепашковий, пров., укр
Черепична, вул., укр
Череповецька, вул., укр
Черкаський, пров., укр
Чернишевського, вул., укр
Чернівецька, вул., укр
Чернігівська, вул., укр
Черняховського, вул., укр
Чистий, пров., укр
Читинська, вул., укр
Чкалова, вул., укр
Човнова, вул., укр
Чонгарська, вул., укр
Чорногорівська, вул., укр
Чорноземна, вул., укр
Чорноморська, вул., укр
Чугуївський, пров., укр
Чудова, вул., укр
Чудовий, пров., укр
Чуйський, пров., укр
Чумацтва, вул., укр
Чумацький шлях, вул., укр
Чумаченка, вул., укр
Шахтинський, пров., укр
Шевцової, вул., укр
Шевченка, бульв., укр
Шевченка, вул., укр
Шевченківський, пров., укр
Шевчука, вул., укр
Шенвізька, вул., укр
Шепетівський, пров., укр
Широкий, пров., укр
Шишкіна, вул., укр
Шкільна, вул., укр
Шкільний, пров., укр
Шламова, вул., укр
Шляхова, вул., укр
Шмідта, вул., укр
Штурманський, пров., укр
Штурмова, вул., укр
Щаслива, вул., укр
Щедра, вул., укр
Ювілейна, вул., укр
Ювілейний, просп., укр
Юннатів, вул., укр
Юності, вул., укр
Юрія Кондратюка, вул., укр
Юрія Федорюка, вул., укр
Юрьївський, пров., укр
Яблучна, вул., укр
Явірний, пров., укр
Яворницького, вул., укр
Ягідний, пров., укр
Якова Новицького, вул., укр
Якутський, пров., укр
Ялинкова, вул., укр
Ялтинська, вул., укр
Ямський, пров., укр
Янтарна, вул., укр
Ярова, вул., укр
Ярославська, вул., укр
Ясельна, вул., укр
Ясний, пров., укр
Ясногірська, вул., укр
Яценка, вул., укр
